time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,11,4,0,0
2026-04-17 00:00:00+00:00,33,10,0,0
2026-04-18 00:00:00+00:00,27,13,0,0
2026-04-19 00:00:00+00:00,42,18,0,0
2026-04-20 00:00:00+00:00,58,26,0,0
2026-04-21 00:00:00+00:00,45,21,0,0
2026-04-22 00:00:00+00:00,79,27,0,0
2026-04-23 00:00:00+00:00,102,27,0,0
2026-04-24 00:00:00+00:00,49,18,0,0
2026-04-25 00:00:00+00:00,60,22,0,0
2026-04-26 00:00:00+00:00,62,13,0,0
2026-04-27 00:00:00+00:00,29,9,0,0
2026-04-28 00:00:00+00:00,17,5,0,0
2026-04-29 00:00:00+00:00,47,11,0,0
